"nombre","tipo","subtipo","facultad","modalidad","semestres","creditos","costo_semestral_cop","costo_semestral_usd","costo_inscripcion_cop","codigo_snies","titulo_otorgado","acreditacion_nacional","acreditacion_internacional","descripcion","keywords","url"
"Diplomado en Derecho Laboral","Educación Continua","Diplomado","Facultad de Estudios Jurídicos, Políticos e Internacionales Diplomado en Derecho Laboral Dipl","Virtual","","","","","","","","","","Con una metodología teórica-práctica en distintas sesiones hacen que el participante tenga oportunidad de conocer el manejo de los temas. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-derecho-laboral"
"Diplomado en Derecho electoral","Educación Continua","Diplomado","Facultad de Estudios Jurídicos, Políticos e Internacionales Diplomado en Derecho Electoral Di","Virtual","","","","","","","","","","Este diplomado busca presentar y profundizar en el estudio del ordenamiento jurídico, la estructura y la actividad del Derecho Electoral. ¡Conoce más!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-derecho-electoral"
"Curso Derecho para emprendedores","Educación Continua","Curso","Facultad de Estudios Jurídicos, Políticos e Internacionales Curso Derecho para emprendedores","Virtual","","","","","","","","","","Este curso ha sido diseñado especialmente para personas emprendedoras que deseen comprender y aplicar conceptos legales esenciales en el mundo de los negocios.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-derecho-para-emprendedores"
"Curso en Desarrollo urbano y sostenibilidad","Educación Continua","Curso","Facultad de Estudios Jurídicos, Políticos e Internacionales Curso en Desarrollo urbano y sost","Virtual","","","","","","","","","","El curso de Desarrollo urbano y sostenibilidad brinda una visión completa y armónica de los aspectos jurídicos de orden urbanístico y ambiental. ¡Ingresa!","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-en-desarrollo-urbano-y-sostenibilidad"
"Curso en Contratación Estatal, Compra Pública y SECOP II","Educación Continua","Curso","Facultad de Estudios Jurídicos, Políticos e Internacionales Curso en Contratación Estatal, Co","Virtual","","","1200000","","","","","","","Este curso te brinda las herramientas y conocimientos necesarios para navegar con éxito el complejo mundo de las compras estatales. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/curso-en-contratacion-estatal-compra-publica-y-SECOP-II"
"Curso en gestión de conflictos societarios","Educación Continua","Curso","Facultad de Estudios Jurídicos, Políticos e Internacionales Curso de gestión de conflictos so","Virtual","","","","","","","","","","Las disputas societarias pueden comprometer la estabilidad y el crecimiento de cualquier empresa. Nuestro curso de Gestión de Conflictos Societarios te brindará herramientas estratégicas.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-en-gestion-de-conlifctos-societarios"
"Curso en propiedad horizontal","Educación Continua","Curso","Facultad de Estudios Jurídicos, Políticos e Internacionales Curso en propiedad horizontal Cur","Virtual","","","","","","","","","","Capacitar a los participantes en la gestión integral de la Propiedad Horizontal, proporcionando conocimientos sólidos en legislación, funcionamiento operativo, gestión administrativa y financiera, con el propósito de potenciar la eficiencia y la calidad en la administración de conjuntos residenciales.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-en-propiedad-horizontal"
"Diplomado en ambiente, desarrollo territorial y adaptación al cambio climático","Educación Continua","Diplomado","Facultad de Estudios Jurídicos, Políticos e Internacionales Diplomado en Ambiente, desarrollo","Virtual","","","","","","","","","","Un programa diseñado para abordar los desafíos ambientales y socioeconómicos que enfrenta el país en el contexto del cambio climático. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-ambiente-desarrollo-territorial-y-adaptacion-al-cambio-climatico"
"Curso de Actualización en Derecho Minero Ambiental","Educación Continua","Curso","Facultad de Estudios Jurídicos, Políticos e Internacionales Curso de Actualización en Derecho","Virtual","","","","","","","","","equisitos, procedimientos y cambios recientes Permisos y autorizaciones conexas Fiscalización y control administrativo en minería Procedimientos sancionato","Ofrece una revisión integral y práctica de los cambios normativos, jurisprudenciales y técnicos más recientes que impactan la actividad minera en Colombia.","","https://www.unisabana.edu.co/programas/educacion-continua/curso-de-actualizacion-en-derecho-minero-ambiental"
"Curso en IA en el Sector Legal","Educación Continua","Curso","","Virtual","","","","","","","","","","El programa recorre temas fundamentales como el uso de herramientas de automatización en tareas jurídicas, el análisis del sesgo algorítmico. ¡Ingresa!","","https://www.unisabana.edu.co/programas/educacion-continua/curso-en-ia-en-el-sector-legal"
"Curso en Mitigación y Adaptación al Cambio Climático","Educación Continua","Curso","Facultad de Estudios Jurídicos, Políticos e Internacionales Curso en Mitigación y Adaptación","Virtual","","","","","","","","","","Este curso es una propuesta académica de vanguardia, diseñada para abordar uno de los desafíos más urgentes de nuestro tiempo: el cambio climático.","","https://www.unisabana.edu.co/programas/educacion-continua/curso-en-mitigacion-y-adaptacion-al-cambio-climatico"
"Curso en Técnicas de Litigación","Educación Continua","Curso","Facultad de Estudios Jurídicos, Políticos e Internacionales Curso en Técnicas de Litigación C","Virtual","","","","","","","","","","Este curso es una propuesta académica diseñada para acercar a los estudiantes y profesionales del derecho a la realidad del litigio penal en Colombia.","","https://www.unisabana.edu.co/programas/educacion-continua/curso-en-tecnicas-de-litigacion"
"Curso en Estrategias para el Nuevo Código Procesal del Trabajo y de la Seguridad Social","Educación Continua","Curso","Facultad de Estudios Jurídicos, Políticos e Internacionales Curso en Estrategias para el Nuev","Virtual","","","","","","","","","","Este curso corto ofrece una introducción sólida y práctica al Derecho Procesal Laboral, permitiendo a los participantes familiarizarse con las etapas del proceso.","","https://www.unisabana.edu.co/programas/educacion-continua/curso-en-estrategias-para-el-nuevo-codigo-procesal-del-trabajo-y-de-la-seguridad-social"
"Minor en Ciencia Política","Minor","","Facultad Oferta Académica Cifras Nuestras Instalaciones Nuestro Equipo Enlaces de interés","Presencial","","14","","3814","130000","","","","","Con nuestras opciones de minors, podrás ampliar tus conocimientos. ¡Ingresa y consulta más detalles aquí!","","https://www.unisabana.edu.co/programas/unidades-academicas/facultad-de-estudios-juridicos-politicos-e-internacionales/minor-en-ciencia-politica"
"Minor en Relaciones Internacionales","Minor","","Facultad Oferta Académica Cifras Nuestras Instalaciones Nuestro Equipo Enlaces de interés","Presencial","","14","","3814","130000","","","","","Conoce algunas opciones para fortalecer tu hoja de vida. Puedes inscribir estas asignaturas con tus créditos de electivas o libres y al graduarte recibirás un certificado.","","https://www.unisabana.edu.co/programas/unidades-academicas/facultad-de-estudios-juridicos-politicos-e-internacionales/minor-en-relaciones-internacionales"
"Minor en Derecho de la Empresa y los Negocios","Minor","","Facultad Oferta Académica Cifras Nuestras Instalaciones Nuestro Equipo Enlaces de interés","Presencial","","16","","3814","130000","","","","","Conoce algunas opciones para fortalecer tu hoja de vida. ¡Consulta más detalles aquí!","","https://www.unisabana.edu.co/programas/unidades-academicas/facultad-de-estudios-juridicos-politicos-e-internacionales/minor-en-derecho-de-la-empresa-y-los-negocios"
"Minor en Derecho Público","Minor","","Facultad Oferta Académica Cifras Nuestras Instalaciones Nuestro Equipo Enlaces de interés","Presencial","","12","","3814","130000","","","","","Puedes inscribir estas asignaturas con tus créditos de electivas o libres y al graduarte recibirás un certificado del minor. ¡Consulta más información!","","https://www.unisabana.edu.co/programas/unidades-academicas/facultad-de-estudios-juridicos-politicos-e-internacionales/minor-en-derecho-publico"
"Unisabana College","Pregrado","","Facultad de Educación Unisabana College Unisabana College Explora HOY, decide TU FUTURO","Presencial","1","12","15440000","4104","","","","","","Unisabana College es un programa flexible e innovador, que acompaña al joven a explorar diferentes áreas para identificar una profesión. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/pregrados/unisabana-college"
"Doctorado en Educación","Posgrado","Doctorado","","Presencial","8","120","","","150000","104738","Doctor en Educación Modalidad Presencial Lugar de desarrollo del programa Este programa se dicta en el Campus del Puente","","equisitos de admisión para el Doctorado en Educación Ver más Tener título de maestría o, a juicio del comité de investigación del programa, su equivalente","El Doctorado en Educación se propone formar investigadores de alto nivel, que contribuyan a mejorar la calidad de la educación en el país y a la generación de conocimiento.","","https://www.unisabana.edu.co/programas/posgrados/doctorado-en-educacion"
"Doctorado en Innovación Educativa con uso de TIC","Posgrado","Doctorado","Facultad de Educación más Financiación UniSabana ofrece a sus estudiantes una amplia gama de","Presencial","8","84","","","150000","","Doctor en Innovación Educativa con uso de TIC","","equisitos Requisitos Para participar en las convocatorias del Doctorado, el aspirante debe cumplir los siguientes requisitos Ver más Ver más Para participa","El Doctorado en Innovación Educativa con uso de TIC está estructurado de tal forma que obedece a los lógicas que subyacen en su objeto de estudio. ¡Ingresa!","","https://www.unisabana.edu.co/programas/posgrados/doctorado-en-innovacion-educativa-con-uso-de-tic"
"Maestría en Innovación Educativa mediada por TIC virtual","Posgrado","Maestría","","Virtual","4","45","","","150000","","Magíster en Innovación Educativa mediada por TIC","","equisitos y documentos Los siguientes documentos son los solicitados por la Universidad de La Sabana","Descubre un programa diseñado para transformar la educación. Nuestra Maestría en Innovación Educativa mediada por TIC (Virtual) te prepara para liderar proyectos de innovación.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-innovacion-educativa-mediada-por-tic-virtual"
"Maestría en Educación Bilingüe y Multicultural Virtual","Posgrado","Maestría","","Virtual","8","44","","","","","Magíster en Educación Bilingüe y Multicultural","Alta Calidad según Resolución No. 002023 del 28 de febrero de 2024","equisitos ¿por qué estudiar Maestría en Educación Bilingüe y Multicultural (Virtual)? Nuestro equipo Enlaces de Interés Cifras Programas relacionados Forta","El programa busca que los participantes se fundamenten teórica y pedagógicamente para desarrollar propuestas pedagógicas. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-educacion-bilingue-y-multicultural-virtual"
"Maestría en Desarrollo Infantil","Posgrado","Maestría","","Presencial","4","46","","","150000","","Magíster en Desarrollo Infantil Lugar del desarrollo del programa Este programa se dicta en el Campus del Puente del Com","","equisitos de admisión Los siguientes documentos son los solicitados por la Universidad de La Sabana","El propósito de la Maestría en Desarrollo Infantil es formar profesionales de distintas disciplinas capaces de dialogar entre sí, para conocer, interrogar y replantear las concepciones.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-desarrollo-infantil"
"Maestría en Dirección y Gestión de Instituciones Educativas En Extensión La Guajira","Posgrado","Maestría","","Presencial","4","42","","","","107624","Magíster en Dirección y Gestión de Instituciones Educativas","","equisitos de admisión Los siguientes documentos son los solicitados por la Universidad de La Sabana","La Maestría en Dirección y Gestión de Instituciones Educativas - Extensión La Guajira fundamenta su acción formativa en un enfoque antropológico.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-direccion-y-gestion-de-instituciones-educativas-extension-la-guajira"
"Maestría en Dirección y Gestión de Instituciones Educativas en Extensión Neiva","Posgrado","Maestría","","Presencial","4","42","","","150000","109484","Magíster en Dirección y Gestión de Instituciones Educativas","","equisitos de Admisiones Certificado laboral en donde se acredite la experiencia en la dirección de una institución educativa","La Maestría en Dirección y Gestión de Instituciones Educativas, en alianza con la Fundación Universitaria Navarra - Uninavarra. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-direccion-y-gestion-de-instituciones-educativas-en-extension-neiva"
"Maestría en Educación","Posgrado","Maestría","","Presencial","4","44","","","","51841","Magíster en Educación","Acreditación mediante Resolución No","equisitos de Admisión Los siguientes documentos son los solicitados por la Universidad de La Sabana","Nuestra maestría te brinda herramientas para transformar los procesos de enseñanza y aprendizaje, promoviendo una educación de calidad y con sentido social.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-educacion"
"Maestría en Pedagogía e Investigación en el Aula Virtual","Posgrado","Maestría","Facultad de Educación, propende por la formación de educadores prácticos reflexivos; éticos y","Virtual","4","42","10935000","","","104807","","","equisitos de admisión Los siguientes documentos son los solicitados por la Universidad de La Sabana","La Maestría en Pedagogía e Investigación en el Aula desarrolla habilidades de reflexión rigurosa y sistemática sobre la práctica pedagógica, con el fin de mejorarla, fomentar la innovación en el ejercicio profesional y fortalecer la calidad del proceso educativo, por medio de la investigación acción educativa. Se caracteriza por la resolución de problemáticas reales de aula, en contextos reales, a través de su enfoque práctico reflexivo.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-pedagogia-e-investigacion-en-el-aula-virtual"
"Maestría en Pedagogía","Posgrado","Maestría","","Presencial","4","46","","","","53938","Magíster en Pedagogía","","equisitos de admisión Hoja de vida actualizada","La Maestría en Pedagogía promueve procesos de investigación de aula, como expresión operativa de la investigación-acción educativa, con el objeto de potenciar la formación continua de los docentes y la formación de investigadores. Su objeto propio de análisis y reflexión, desde el punto de vista epistemológico, es la dimensión práctica-aplicada de la pedagogía. Desde una perspectiva teórico-práctica, se aproxima al ejercicio docente para promover estrategias de formación de profesores, centradas en la reflexión sobre la práctica de enseñanza y el compromiso social del educador.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-pedagogia"
"Maestría en Pedagogía en Extensión Neiva","Posgrado","Maestría","","Presencial","4","46","","","","53938","Magíster en Pedagogía","","equisitos de admisión Acreditar el título de Licenciado u otro título profesional universitario","La Maestría en Pedagogía - extensión Neiva de la Universidad de La Sabana, en alianza con la Fundación Universitaria Navarra - Uninavarra, tiene como propósito formar profesores en ejercicio en los diferentes niveles y grados del Sistema Educativo Colombiano, con la capacidad de evaluar, reflexionar e investigar sobre su práctica de enseñanza para comprenderla y transformarla.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-pedagogia-en-extension-neiva"
"Maestría en Desarrollo Infantil - Extensión La Guajira","Posgrado","Maestría","","Presencial","4","46","","","","107269","Magíster en Desarrollo Infantil Tipo de programa Maestría en Profundización","","equisitos de admisión Los siguientes documentos son los solicitados por la Universidad de La Sabana","El propósito de la Maestría en Desarrollo Infantil -Extensión La Guajira es formar profesionales de distintas disciplinas, capaces de dialogar entre sí, para conocer, interrogar y replantear las concepciones y prácticas en torno al desarrollo infantil entre los 0 y los 11 años, desde una perspectiva integral, interdisciplinar e inclusiva.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-desarrollo-infantil-extension-la-guajira"
"Maestría en Dirección y Gestión de Instituciones Educativas","Posgrado","Maestría","","Presencial","4","42","","","","53654","Magíster en Dirección y Gestión de Instituciones Educativas","","equisitos de Admisión Requisitos de admisión La Maestría en Dirección y Gestión de Instituciones Educativas ha establecido los siguientes requisitos de Adm","Gestión de Instituciones Educativas liidera la transformación educativa con una formación integral en gestión, innovación y calidad.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-direccion-y-gestion-de-instituciones-educativas"
"Especialización en Gerencia Educativa","Posgrado","Especialización","","Presencial","2","24","","","","1242","Especialista en Gerencia Educativa","","equisitos de admisión Requisitos de admisión 1","La Especialización en Gerencia Educativa se encuentra adscrita a la Facultad de Educación, la cual busca ofrecer una formación integral. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-educativa"
"Especialización en Pedagogía e Investigación en el Aula Virtual","Posgrado","Especialización","","Virtual","2","20","","","","","Especialista en Pedagogía e Investigación en el Aula","","equisitos de admisión Requisitos de admisión Trabajar en una institución de educación formal, con funciones educativas","La Especialización en Pedagogía e Investigación en el Aula promueve procesos pedagógicos de mejoramiento docente mediante el ejercicio de la investigación aplicada en el aula con la solución pertinente de problemas propios del contexto de los docentes.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-pedagogia-e-investigacion-en-el-aula-virtual"
"Diplomado en Liderazgo y Coaching Educativo","Educación Continua","Diplomado","Facultad de Educación Conoce quiénes somos","Híbrido","","","","","","","","","","Liderazgo Educativo busca fortalecer habilidades de liderazgo en directivos y equipos de trabajo con componente social e interacción humana.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-coaching-y-liderazgo-educativo"
"Diplomado en educación con enfoque STEM","Educación Continua","Diplomado","Facultad de Educación Formamos líderes en educación con un enfoque innovador y humanista","Virtual","","","","","","","","","abetización científica crítica en empresas y comunidades sociales y educativas; y de la Red de Docentes Investigadores (REDDI), donde participa del Nodo d","Este diplomado está diseñado para que los participantes adquieran conocimientos y herramientas sobre la educación con enfoque STEM. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-educacion-con-enfoque-stem"
"Diplomado en astronomía y astrofísica","Educación Continua","Diplomado","Facultad de Educación Diplomado de Astronomía y Astrofísica Diplomado de Astronomía y Astrofí","Virtual","","","","","","","","","","El diplomado en astronomía y astrofísica dará a los participantes las herramientas necesarias para el desarrollo de habilidades científicas por medio de proyectos de astronomía.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-astronomia-y-astrofisica"
"Diplomado en Neurociencia Educativa","Educación Continua","Diplomado","Facultad de Educación Diplomado en Neurociencia Educativa Diplomado en Neurociencia Educativa","Virtual","","3","","","","","","","equisitos académicos y administrativos y de acuerdo con la siguiente tabla: Diplomado Asignatura homologable Programa Neurociencia Educativa Asignatura: El","El diplomado en neurociencia educativa está orientado a la generación de procesos reflexivos individuales y colectivos, así como a la ampliación de las comprensiones.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-neurociencia-educativa"
"Diplomado de Astronomía y Astrofísica | Universidad de La Sabana","Educación Continua","Diplomado","Facultad de Educación Diplomado en Convivencia Escolar y Educación Emocional Diplomado en Con","Virtual","","3","","","","","","","equisitos académicos y administrativos y de acuerdo con la siguiente tabla: Diplomado Asignatura homologable Programa Convivencia Escolar y Educación Socio","El diplomado en astronomía y astrofísica dará a los participantes las herramientas necesarias para el desarrollo de habilidades científicas por medio de proyectos de astronomía.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-convivencia-escolar-y-educacion-emocional"
"Diplomado en Inteligencia Artificial aplicada a la Educación","Educación Continua","Diplomado","Facultad de Educación Formamos líderes en educación con un enfoque innovador y humanista","Virtual","","3","","","","","","","equisitos académicos y administrativos y de acuerdo con la siguiente tabla: Diplomado Asignatura homologable Programa Inteligencia artificial aplicada a la","Este diplomado está diseñado para que los participantes adquieran conocimientos y herramientas sobre la educación con enfoque STEM.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-inteligencia-artificial-aplicada-la-educacion"
"Enfermería","Pregrado","","","Presencial","10","189","11096000","3783","150000","1236","","","","La carrera de Enfermería de la Universidad de La Sabana es un programa de educación superior que forma profesionales integrales. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/pregrados/enfermeria"
"Fisioterapia","Pregrado","","","Presencial","10","180","11686000","3783","150000","52318","Fisioterapeuta","","equisito de Práctica Formativa en Salud Pública Total créditos: Semestre 7 Créditos Inglés 7 3 Investigación II 2 Administración y Gestión de Proyectos en","La carrera de Fisioterapia de la Universidad de La Sabana es un programa de educación superior que forma profesionales integrales. ¡Conoce más detalles!","","https://www.unisabana.edu.co/programas/pregrados/fisioterapia"
"Maestría en Enfermería","Posgrado","Maestría","Curso en Fundamentos y Estrategias Prácticas de","Presencial","4","47","","","","005931","Magíster en Enfermería","alta calidad Recibió Acreditación de Alta Calidad, bajo la Resolución No. 017372 del 27 de diciembre de 2019","equisitos para estudiantes colombianos: Realizar inscripción en línea a través de la página web y el pago de los derechos de inscripción","La Maestría en Enfermería de la Universidad de La Sabana tiene como propósito la formación de investigadores interesados en participar en el desarrollo de proyectos.","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-enfermeria"
"Maestría en Fisioterapia","Posgrado","Maestría","Curso en Fundamentos y Estrategias Prácticas de","Virtual","3","40","","37","","116044","Magíster en Fisioterapia","","equisitos de Admisión La admisión busca el concurso de profesionales de alto nivel académico y profesional, interesados en su cualificación como investigad","La Maestría en Fisioterapia de la Universidad de La Sabana tiene como objetivo central formar magísteres competentes en investigación. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/posgrados/maestria-en-fisioterapia"
"Especialización en Enfermería en Cuidado Crítico","Posgrado","Especialización","Curso en Fundamentos y Estrategias Prácticas de","Presencial","2","24","","37","","54083","Especialista en Enfermería en Cuidado Crítico","","","La Especialización en Enfermería en Cuidado Crítico de la Universidad de La Sabana es un programa académico de posgrado. ¡Consulta más información!","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-enfermeria-en-cuidado-critico"
"Especialización en Terapia Manual Ortopédica","Posgrado","Especialización","Curso en Fundamentos y Estrategias Prácticas de","Presencial","2","27","","","","102712","Especialista en Terapia Manual Ortopédica","","","La Especialización en Terapia Manual Ortopédica con el objeto de formar especialistas en este campo, a través de la profundización en los saberes de la Fisioterapia.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-terapia-manual-ortopedica"
"Doctorado en Enfermería","Posgrado","Doctorado","Curso en Fundamentos y Estrategias Prácticas de","Presencial","8","120","","49","","109169","Doctor(a) en Enfermería","","equisitos necesarios para iniciar tu proceso de postulación y ser parte de este programa de alto nivel","El Doctorado en Enfermería tiene como objetivo formar investigadores autónomos con pensamiento crítico y reflexivo y altas calidades humanas y éticas. ¡Ingresa!","","https://www.unisabana.edu.co/programas/posgrados/doctorado-en-enfermeria"
"Especialización en Fisioterapia en Cuidado Crítico","Posgrado","Especialización","Curso en Fundamentos y Estrategias Prácticas de","Virtual","2","30","","37","","117949","Especialista en Fisioterapia en Cuidado Crítico Registro calificado aprobado por el Ministerio de Educación Nacional, se","","","La Especialización en Fisioterapia en Cuidado Crítico forma profesionales altamente capacitados para actuar con seguridad. ¡Conoce más detalles aquí!","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-fisioterapia-en-cuidado-critico"
"Diplomado en Ventilación Mecánica","Educación Continua","Diplomado","Curso: Las plantas","Virtual","","","2300000","","","","","","","Es una propuesta para la formación multidisciplinaria de estudiantes y profesionales de la salud que buscan actualizar y profundizar sus conocimientos.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-ventilacion-mecanica"
"Diplomado en Doula de Gestación, Parto y Posparto","Educación Continua","Diplomado","Curso: Las plantas","Presencial","","","4200000","","","","","","","No es inédita la idea que el ejercicio del Doulaismo en Colombia ha venido tomando fuerza desde la última década. ¡Ingresa y consulta más aquí!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-doula-de-gestacion-parto-y-posparto"
"Diplomado en Gestión Integral de la Terapia Intravascular | Universidad de La Sabana","Educación Continua","Diplomado","Curso: Las plantas","Híbrido","","","3500000","","","","","","","El Diplomado en Gestión Integral de la Terapia Vascular está diseñado para proporcionar a los profesionales de enfermería una formación avanzada. ¡Ingresa!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-gestion-integral-de-la-terapia-intravascular-en-convenio-con-teleflex"
"Curso de bienestar digital | Universidad de La Sabana","Educación Continua","Curso","Curso: Las plantas","Hyflex","","","1080000","","","","","","","¿Sabías que el uso excesivo de dispositivos digitales puede impactar negativamente tu salud? Este curso corto, dirigido por profesionales de Psicología, Fisioterapia, Nutrición y Comunicación Social, te brindará estrategias aplicables a tu vida cotidiana para armonizar el uso de los dispositivos digitales y los demás aspectos de la vida desde el enfoque del bienestar digital. El producto final del curso será una dieta digital creada por cada estudiante por medio del Aprendizaje Experiencial.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-bienestar-digital-viviendo-enchufado-o-desenchufado"
"Curso en recuperación deportiva | Universidad de La Sabana","Educación Continua","Curso","Curso: Las plantas","Hyflex","","","1350000","","","","","","","El curso “Recuperación deportiva: avances, perspectivas y aplicabilidad”, es un espacio académico interactivo en el cual los asistentes fortalecerán su conocimiento.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-en-recuperacion-deportiva-avances-perspectivas-y-aplicabilidad"
"Actualización avanzada en cuidado pediátrico | Universidad de La Sabana","Educación Continua","","Curso: Las plantas","Hyflex","","","650000","","","","","","","Actualiza tus conocimientos en el cuidado integral del niño y el neonato con ostomía a través de este curso corto dirigido a profesionales de la salud.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-actualizacion-en-el-cuidado-integral-al-nino-con-ostomia"
"Curso las plantas medicinales y su uso | Universidad de La Sabana","Educación Continua","Curso","FACULTAD DE CIENCIAS DE LA VIDA Y EL BIENESTAR Curso: Las plantas","Hyflex","","","670000","","","","","","","El Curso Plantas Medicinales y su Uso para el Cuidado de la Salud está ofertado desde lo teórico práctico en modalidad mixta que pretende fortalecer las prácticas tradicionales.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-las-plantas-medicinales-y-su-uso-para-el-cuidado-de-la-salud"
"Diplomado en Bioestadística y Epidemiología","Educación Continua","Diplomado","Curso: Las plantas","Hyflex","","","3650000","","","","","","","El contenido temático se divide en 4 unidades. Los módulos centrados en el desarrollo de habilidades estarán acompañados de sesiones sincrónicas.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-bioestadistica-y-epidemiologia"
"Curso en Técnicas de Columna vertebral | Universidad de La Sabana","Educación Continua","Curso","Curso: Las plantas","Virtual","","","1200000","","","","","","","Técnicas de Manipulación de Alta Velocidad – Módulo Columna Vertebral es un programa de la Universidad de La Sabana, diseñado exclusivamente para fisioterapeutas.","","https://www.unisabana.edu.co/programas/educacion-continua/curso-en-tecnicas-de-manipulacion-de-alta-velocidad"
"Curso de Inducción Miofascial | Universidad de La Sabana","Educación Continua","Curso","Curso: Las plantas","Presencial","","","2600000","","","","","","","Fortalece tu práctica clínica con herramientas sólidas y aplicables para la evaluación y el tratamiento de disfunciones miofasciales. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/curso-en-induccion-miofascial-mit-tecnicas-estructurales"
"Diplomado en Ventilación Mecánica | Universidad de La Sabana","Educación Continua","Diplomado","FACULTAD DE CIENCIAS DE LA VIDA Y EL BIENESTAR Diplomado en","Virtual","","","2800000","","","","","","","Es una propuesta para la formación multidisciplinaria de estudiantes y profesionales de la salud que buscan actualizar y profundizar sus conocimientos.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-nutricion-clinica-pediatrica-avanzada"
"Diplomado en Ventilación Mecánica | Universidad de La Sabana","Educación Continua","Diplomado","Curso: Las plantas","Virtual","","","2800000","","","","","","","Es una propuesta para la formación multidisciplinaria de estudiantes y profesionales de la salud que buscan actualizar y profundizar sus conocimientos.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-ciclismo-360-salud-rendimiento-y-autocuidado"
"Cuerpo y mente en equilibrio: ciencia y práctica para el bienestar","Educación Continua","","Curso: Las plantas","Virtual","","","1520000","","","","","","","Cuando se habla de mente-cuerpo se busca romper contradicciones dualistas que separan a estas dos entidades de la constitución de las personas, es decir que se busca verticalizar la relación entre las funciones cerebrales y las del cuerpo.","","https://www.unisabana.edu.co/programas/educacion-continua/cuerpo-y-mente-en-equilibrio-ciencia-y-practica-para-el-bienestar"
"Diplomado en simulación clínica | Universidad de La Sabana","Educación Continua","Diplomado","Curso: Las plantas","Hyflex","","","2640000","","","","","","","El aprendizaje en entorno controlado, en este caso a través del aprendizaje basado en simulación. ¡Consulta más detalles ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-simulacion-clinica-para-el-aseguramiento-del-aprendizaje-y-la-investigacion"
"Diplomado en Terapia Manual Ortopédica | Universidad de La Sabana","Educación Continua","Diplomado","Curso: Las plantas","Virtual","","","2520000","","","","","","","Este diplomado busca propiciar la comprensión de los conceptos y teorías que fundamentan el estudio de la Terapia Manual Ortopédica. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-terapia-manual-ortopedica-fundamentos-avanzados-y-aplicacion-clinica"
