"nombre","tipo","subtipo","facultad","modalidad","semestres","creditos","costo_semestral_cop","costo_semestral_usd","costo_inscripcion_cop","codigo_snies","titulo_otorgado","acreditacion_nacional","acreditacion_internacional","descripcion","keywords","url"
"Curso en Comunicación asertiva y persuasiva para líderes","Educación Continua","Curso","Facultad de","Virtual","","","1200000","","","","","","","Actualmente, las personas que desempeñan roles de liderazgo necesitan conocer, practicar y dominar técnicas de comunicación asertiva para transmitir sus mensajes efectivamente.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-en-comunicacion-asertiva-y-persuasiva-para-lideres"
"Diplomado Data storytelling: una estrategia aplicada a ciencia de datos","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","2610000","","","","","","","Este diplomado está diseñado para proporcionar a los participantes las habilidades necesarias para analizar datos, crear visualizaciones efectivas y comunicar historias basadas en datos.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-data-storytelling-una-estrategia-aplicada-ciencia-de-datos"
"Curso Experto Inteligencia artificial para profesionales innovadores","Educación Continua","Curso","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","1044000","","","","","","","En este curso online, los participantes desarrollarán la capacidad de crear instrucciones o prompts para interactuar de manera efectiva con los chatbots ya sean de uso general, académico o investigativo.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-experto-en-inteligencia-artificial-para-profesionales-innovadores"
"Curso en Liderazgo y habilidades blandas","Educación Continua","Curso","Facultad de","Virtual","","","1200000","","","","","","","En este curso se busca que se comprenda la relevancia de las habilidades blandas para cualquier empresa u organización, que busque que sus colaboradores estén siempre orientados al logro.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-en-liderazgo-y-habilidades-blandas"
"Curso Propiedad Intelectual en entornos virtuales","Educación Continua","Curso","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","1200000","","","","","","","El uso masivo de material digital ha desencadenado usos no permitidos, bien sea por desconocimiento, actitudes poco éticas, o, por el contrario.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-propiedad-intelectual-en-entornos-virtuales"
"Diplomado en Visuales para espectáculos en vivo virtual","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","2610000","","","","","","","¿Te apasiona el entretenimiento y quieres llevar tus habilidades visuales al siguiente nivel? Este curso es tu puerta de entrada al mundo de las visuales para espectáculos en vivo.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-visuales-para-espectaculos-en-vivo-virtual"
"Diplomado en Diseño y Gestión de Ambientes Virtuales de Aprendizaje","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","2088000","","","","","","abetización multimedia para ambientes virtual de aprendizaje Diseña elementos multimediales desde los principios de usabilidad y accesibilidad","Al final del programa el estudiante cumplirá la meta de construir un ambiente virtual de aprendizaje real empleando los parámetros proporcionados y con una preponderancia de trabajo colaborativo.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-diseno-y-gestion-de-ambientes-virtuales-de-aprendizaje"
"Diplomado en Comunicación de Gobierno","Educación Continua","Diplomado","Facultad de","Virtual","","","","","","","","","","El Diplomado en Comunicación de Gobierno es la apuesta de la Facultad de Comunicación de la Universidad de la Sabana, que busca ofrecer herramientas conceptuales.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-comunicacion-de-gobierno"
"Curso Santo Tomás de Aquino: el hombre, el maestro, el santo","Educación Continua","Curso","Facultad de","Virtual","","","810000","","","","","","","El curso de actualización teológica “Santo Tomás de Aquino: el Hombre, el Maestro, el Santo” invita a explorar la vida, obra y legado de Santo Tomás de Aquino.","","https://www.unisabana.edu.co/programas/educacion-continua/curso/curso-en-santo-tomas-de-aquino-el-hombre-el-maestro-el-santo"
"Diplomado en Life Cycle Assessment (LCA)","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2800000","","","","","","","Prepárate para liderar proyectos sostenibles con herramientas clave como el Análisis de Ciclo de Vida (ACV). Aprende a identificar y cuantificar los impactos ambientales.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-life-cycle-assessment-lca"
